FOOD_NAME,EXPIRY_DATE
ALFREDO SAUCE - HOMEMADE,3
ANCHOVY PASTE COMMERCIALLY PACKAGED - OPENED,360
ANCHOVY PASTE COMMERCIALLY PACKAGED - UNOPENED,540
APPLE BUTTER COMMERCIALLY BOTTLED — OPENED,365
APPLE BUTTER COMMERCIALLY BOTTLED — UNOPENED,730
BALSAMIC VINAIGRETTE SALAD DRESSING COMMERCIALLY BOTTLED SOLD UNREFRIGERATED - OPENED,225
BALSAMIC VINAIGRETTE SALAD DRESSING COMMERCIALLY BOTTLED SOLD UNREFRIGERATED - UNOPENED,450
BARBECUE SAUCE (BBQ SAUCE) COMMERCIALLY BOTTLED - OPENED,30
BARBECUE SAUCE (BBQ SAUCE) COMMERCIALLY BOTTLED - UNOPENED,450
BLACK BEAN SAUCE COMMERCIALLY BOTTLED — OPENED,730
BLACK BEAN SAUCE COMMERCIALLY BOTTLED — UNOPENED,1095
BLUE CHEESE SALAD DRESSING COMMERCIALLY BOTTLED SOLD UNREFRIGERATED - OPENED,225
BLUE CHEESE SALAD DRESSING COMMERCIALLY BOTTLED SOLD UNREFRIGERATED - UNOPENED,450
BOUILLON CUBES OR GRANULES ALL TYPES (INCLUDING BEEF CHICKEN TURKEY VEGETABLE FISH) — UNOPENED OR OPENED PACKAGE,730
BREAD AND BUTTER PICKLES COMMERCIALLY JARRED SOLD UNREFRIGERATED - OPENED,365
BREAD AND BUTTER PICKLES COMMERCIALLY JARRED SOLD UNREFRIGERATED — UNOPENED,730
CAESAR SALAD DRESSING COMMERCIALLY BOTTLED SOLD UNREFRIGERATED - OPENED,225
CAESAR SALAD DRESSING COMMERCIALLY BOTTLED SOLD UNREFRIGERATED - UNOPENED,450
CAPERS COMMERCIALLY  BOTTLED AND PACKED IN BRINE - OPENED,365
CAPERS COMMERCIALLY  BOTTLED AND PACKED IN BRINE - UNOPENED,1095
CHEESE SAUCE - HOMEMADE,3
CHILI SAUCE COMMERCIALLY BOTTLED - OPENED,30
CHILI SAUCE COMMERCIALLY BOTTLED - UNOPENED,450
CHINESE MUSTARD SOLD IN TUBE — OPENED,360
CHINESE MUSTARD SOLD IN TUBE — UNOPENED,360
CHUTNEY COMMERCIALLY BOTTLED — OPENED,45
CHUTNEY COMMERCIALLY BOTTLED — UNOPENED,360
COCKTAIL SAUCE FOR SEAFOOD COMMERCIALLY BOTTLED - OPENED,30
COCKTAIL SAUCE FOR SEAFOOD COMMERCIALLY BOTTLED - UNOPENED,450
COOKING SPRAY / VEGETABLE OIL SPRAY COMMERCIALLY CANNED - UNOPENED OR OPENED,730
DILL PICKLES COMMERCIALLY JARRED SOLD UNREFRIGERATED - OPENED,365
DILL PICKLES COMMERCIALLY JARRED SOLD UNREFRIGERATED - UNOPENED,730
DIP — HOMEMADE USING COMMERCIALLY PACKAGED DRY MIX,14
FISH SAUCE COMMERCIALLY BOTTLED - UNOPENED OR OPENED,912
FRENCH SALAD DRESSING COMMERCIALLY BOTTLED SOLD UNREFRIGERATED - OPENED,225
FRENCH SALAD DRESSING COMMERCIALLY BOTTLED SOLD UNREFRIGERATED - UNOPENED,450
GARLIC PASTE COMMERCIALLY PACKAGED - OPENED,360
GARLIC PASTE COMMERCIALLY PACKAGED - UNOPENED,360
GHERKIN PICKLES COMMERCIALLY JARRED SOLD UNREFRIGERATED - OPENED,365
GHERKIN PICKLES COMMERCIALLY JARRED SOLD UNREFRIGERATED - UNOPENED,730
GINGER PASTE COMMERCIALLY PACKAGED - OPENED,360
GINGER PASTE COMMERCIALLY PACKAGED - UNOPENED,360
GRAVY BEEF — HOMEMADE,3
GRAVY BEEF COMMERCIALLY BOTTLED OR CANNED - OPENED,4
