FOOD_NAME,EXPIRY_DATE
AMERICAN CHEESE - SLICED AT GROCERY DELI COUNTER,17
AMERICAN CHEESE PASTEURIZED PROCESSED SLICES (INDIVIDUALLY WRAPPED) - OPENED PACKAGE,45
AMERICAN CHEESE PASTEURIZED PROCESSED SLICES (INDIVIDUALLY WRAPPED) - UNOPENED PACKAGE,30
APPENZELLER CHEESE - SLICED AT GROCERY DELI COUNTER,24
APPENZELLER CHEESE SOLD IN WRAPPED BLOCK - UNOPENED,45
APPENZELLER CHEESE SOLD IN WRAPPED BLOCK - OPENED,24
ASIAGO CHEESE (HARD AGED VARIETY) SOLD IN WRAPPED CHUNK OR BLOCK  - OPENED,35
ASIAGO CHEESE (HARD AGED VARIETY) SOLD IN WRAPPED CHUNK OR BLOCK  - UNOPENED,240
BEAUFORT CHEESE SOLD IN WRAPPED BLOCK - UNOPENED,180
BEAUFORT CHEESE SOLD IN WRAPPED BLOCK — OPENED,24
BEL PAESE CHEESE SOLD IN WRAPPED BLOCK - UNOPENED OR OPENED,17
BLUE CHEESE CRUMBLES COMMERCIALLY PACKAGED — OPENED PACKAGE,6
BLUE CHEESE CRUMBLES COMMERCIALLY PACKAGED — UNOPENED PACKAGE,7
BLUE CHEESE SOLD IN WRAPPED WEDGE (FIRM TEXTURE) - UNOPENED OR OPENED,45
BOURSAULT CHEESE SOLD IN WRAPPED WEDGE - UNOPENED OR OPENED,7
BRICK CHEESE SHREDDED OR SLICED COMMERCIALLY PACKAGED - OPENED PACKAGE,6
BRICK CHEESE SHREDDED OR SLICED COMMERCIALLY PACKAGED — UNOPENED PACKAGE,7
BRICK CHEESE SOLD IN WRAPPED BLOCK - UNOPENED OR OPENED,17
BRIE CHEESE SOLD IN WRAPPED WEDGE - UNOPENED OR OPENED,10
BUTTER - UNOPENED OR OPENED PACKAGE,30
BUTTERMILK FRESH FLUID COMMERCIALLY PACKAGED — OPENED,17
BUTTERMILK FRESH FLUID COMMERCIALLY PACKAGED — UNOPENED,10
CAMEMBERT CHEESE SOLD IN WRAPPED WEDGE - UNOPENED OR OPENED,10
CHEDDAR CHEESE - SLICED AT GROCERY DELI COUNTER,24
CHEDDAR CHEESE SHREDDED OR SLICED COMMERCIALLY PACKAGED - OPENED PACKAGE,6
CHEDDAR CHEESE SHREDDED OR SLICED COMMERCIALLY PACKAGED - UNOPENED PACKAGE,7
CHEDDAR CHEESE SOLD IN WRAPPED CHUNK OR BLOCK - OPENED,24
CHEDDAR CHEESE SOLD IN WRAPPED CHUNK OR BLOCK - UNOPENED,180
CHEESE SOUP COMMERCIALLY CANNED OR PACKAGED SOLD UNREFRIGERATED — OPENED,3
CHEESE SOUP COMMERCIALLY CANNED OR PACKAGED SOLD UNREFRIGERATED — UNOPENED,1460
CHESHIRE CHEESE SOLD IN WRAPPED BLOCK — OPENED,24
CHESHIRE CHEESE SOLD IN WRAPPED BLOCK - UNOPENED,45
CHOCOLATE MILK / FLAVORED MILK PASTEURIZED (INCLUDING WHOLE 2% VARIETIES) SOLD REFRIGERATED - UNOPENED OR OPENED,7
COLBY CHEESE - SLICED AT GROCERY DELI COUNTER,24
COLBY CHEESE SHREDDED OR SLICED COMMERCIALLY PACKAGED - OPENED PACKAGE,6
COLBY CHEESE SHREDDED OR SLICED COMMERCIALLY PACKAGED — UNOPENED PACKAGE,7
COLBY CHEESE SOLD IN WRAPPED BLOCK - UNOPENED,45
COLBY CHEESE SOLD IN WRAPPED CHUNK OR BLOCK - OPENED,24
COTTAGE CHEESE - OPENED PACKAGE,8
COTTAGE CHEESE - UNOPENED PACKAGE,7
CREAM CHEESE SOLD IN FOIL-WRAPPED BLOCK - OPENED PACKAGE,10
CREAM CHEESE SOLD IN FOIL-WRAPPED BLOCK - UNOPENED PACKAGE,30
