FOOD_NAME,EXPIRY_DATE
ANCHOVIES COMMERCIALLY CANNED OR BOTTLED — OPENED,45
ANCHOVIES COMMERCIALLY CANNED OR BOTTLED — UNOPENED,1460
ARCTIC CHAR — FRESH COOKED,3
ARCTIC CHAR - FRESH RAW,1
ARCTIC CHAR - PURCHASED COMMERCIALLY FROZEN RAW,240
BLUEFISH — FRESH COOKED,3
BLUEFISH - FRESH RAW,1
BLUEFISH — PURCHASED COMMERCIALLY FROZEN RAW,240
CALAMARI / SQUID — PURCHASED COMMERCIALLY FROZEN RAW,135
CARP — FRESH COOKED,3
CARP - FRESH RAW,1
CATFISH — FRESH COOKED,3
CATFISH - FRESH RAW,1
CATFISH — PURCHASED COMMERCIALLY FROZEN RAW,330
CAVIAR FRESH COMMERCIALLY JARRED OR TINNED SOLD REFRIGERATED — OPENED,2
CAVIAR FRESH COMMERCIALLY JARRED OR TINNED SOLD REFRIGERATED — UNOPENED,21
CAVIAR PASTEURIZED (NOT FRESH) COMMERCIALLY BOTTLED OR CANNED SOLD UNREFRIGERATED — OPENED,2
CAVIAR PASTEURIZED (NOT FRESH) COMMERCIALLY BOTTLED OR CANNED SOLD UNREFRIGERATED — UNOPENED,365
CHUBS (BABY WHITEFISH) SMOKED — WHOLE FISH OR LARGE PIECES,6
CLAM CHOWDER - HOMEMADE,3
CLAM CHOWDER COMMERCIALLY CANNED OR BOTTLED — OPENED,3
CLAM CHOWDER COMMERCIALLY CANNED OR BOTTLED — UNOPENED,1460
CLAMS — FRESH COOKED,3
CLAMS — FRESH RAW SHUCKED,1
CLAMS - FRESH LIVE,1
CLAMS - PURCHASED COMMERCIALLY FROZEN,330
CLAMS COMMERCIALLY CANNED — OPENED,3
CLAMS COMMERCIALLY CANNED — UNOPENED,1460
COD - FRESH COOKED,3
COD - FRESH RAW,1
COD — PURCHASED COMMERCIALLY FROZEN RAW,330
CRAB — FRESH COOKED STILL IN THE SHELL,4
CRAB - FRESH RAW LIVE,1
CRAB CAKES - PURCHASED COMMERCIALLY FROZEN,210
CRAB MEAT — FRESH RAW OUT OF THE SHELL,1
CRAB MEAT - FRESH COOKED OUT OF THE SHELL,4
CRAB MEAT / CRAB LEGS / CRAB CLAWS  — PURCHASED COMMERCIALLY FROZEN,150
CRAB MEAT COMMERCIALLY CANNED SOLD UNREFRIGERATED — OPENED,3
CRAB MEAT COMMERCIALLY CANNED SOLD UNREFRIGERATED — UNOPENED,1460
CRAB MEAT PASTEURIZED COMMERCIALLY CANNED OR PACKED IN AIRTIGHT PLASTIC CONTAINERS SOLD REFRIGERATED - OPENED,2
CRAB MEAT PASTEURIZED COMMERCIALLY CANNED OR PACKED IN AIRTIGHT PLASTIC CONTAINERS SOLD REFRIGERATED - UNOPENED,30
CRAYFISH (CRAWFISH) - FRESH COOKED,3
CRAYFISH (CRAWFISH) - FRESH RAW LIVE,1
CREAM OF SHRIMP SOUP — HOMEMADE,3
CREAM OF SHRIMP SOUP COMMERCIALLY CANNED OR BOTTLED — OPENED,3
CREAM OF SHRIMP SOUP COMMERCIALLY CANNED OR PACKAGED SOLD UNREFRIGERATED — UNOPENED,1460
ESCARGOTS — PURCHASED COMMERCIALLY FROZEN,150
ESCARGOTS COMMERCIALLY CANNED — OPENED,2
ESCARGOTS COMMERCIALLY CANNED — UNOPENED,365
FISH  CHOWDER COMMERCIALLY CANNED OR BOTTLED - OPENED,3
FISH  CHOWDER COMMERCIALLY CANNED OR BOTTLED - UNOPENED,1277
FISH CHOWDER - HOMEMADE,3
FISH STICKS BREADED — PURCHASED COMMERCIALLY FROZEN,540
FISH STOCK OR BROTH - HOMEMADE,3
FISH STOCK OR BROTH COMMERCIALLY CANNED OR PACKAGED SOLD UNREFRIGERATED - OPENED,4
FISH STOCK OR BROTH COMMERCIALLY CANNED OR PACKAGED SOLD UNREFRIGERATED — UNOPENED,1460
FLOUNDER - FRESH COOKED,3
FLOUNDER - FRESH RAW,1
