FOOD_NAME,EXPIRY_DATE
APPLE JUICE - COMMERCIALLY FROZEN CONCENTRATE,6
APPLE JUICE COMMERCIALLY CANNED OR BOTTLED SOLD UNREFRIGERATED - OPENED,8
APPLE JUICE COMMERCIALLY CANNED OR BOTTLED SOLD UNREFRIGERATED - UNOPENED,630
APPLE JUICE SOLD IN REFRIGERATED CONTAINER - OPENED,8
APPLE JUICE SOLD IN REFRIGERATED CONTAINER - UNOPENED,7
APPLES -  COMMERCIALLY FROZEN,365
APPLES - FRESH RAW CUT UP,3
APPLES - FRESH RAW WHOLE,6
APPLES DRIED - UNOPENED OR OPENED PACKAGE,270
APPLESAUCE COMMERCIALLY BOTTLED OR PACKAGED SOLD UNREFRIGERATED - OPENED,10
APPLESAUCE COMMERCIALLY BOTTLED OR PACKAGED SOLD UNREFRIGERATED - UNOPENED,450
APRICOT NECTAR COMMERCIALLY CANNED OR BOTTLED SOLD UNREFRIGERATED - OPENED,6
APRICOT NECTAR COMMERCIALLY CANNED OR BOTTLED SOLD UNREFRIGERATED - UNOPENED,450
APRICOTS — FRESH RAW CUT UP,3
APRICOTS - FRESH RAW WHOLE,2
APRICOTS — COMMERCIALLY FROZEN,365
APRICOTS CANDIED — UNOPENED OR OPENED PACKAGE,360
APRICOTS DRIED - UNOPENED OR OPENED PACKAGE,270
AVOCADOS - FRESH RAW CUT UP,3
AVOCADOS - FRESH RAW WHOLE,5
BANANAS - FRESH RAW CUT UP,3
BANANAS - FRESH RAW WHOLE,3
BANANAS DRIED - UNOPENED OR OPENED PACKAGE,270
BLACKBERRIES - FRESH RAW,2
BLACKBERRIES — COMMERCIALLY FROZEN,365
BLACKBERRY JUICE COMMERCIALLY CANNED OR BOTTLED SOLD UNREFRIGERATED — OPENED,8
BLACKBERRY JUICE COMMERCIALLY CANNED OR BOTTLED SOLD UNREFRIGERATED — UNOPENED,630
BLUEBERRIES - FRESH RAW,10
BLUEBERRIES — COMMERCIALLY FROZEN,365
BLUEBERRIES DRIED - UNOPENED OR OPENED PACKAGE,270
BOYSENBERRIES — FRESH RAW,2
BOYSENBERRIES — COMMERCIALLY FROZEN,365
CANTALOUPE - FRESH RAW WHOLE,1
CANTALOUPE MELONS - FRESH RAW CUT UP,4
