FOOD_NAME,EXPIRY_DATE
ALFALFA SPROUTS - FRESH RAW,2
ANCHO PEPPERS (DRIED POBLANOS) — WHOLE,365
ARTICHOKES - COMMERCIALLY FROZEN,330
ARTICHOKES - FRESH COOKED,4
ARTICHOKES - FRESH RAW,6
ARTICHOKES COMMERCIALLY CANNED OR BOTTLED - OPENED,3
ARTICHOKES COMMERCIALLY CANNED OR BOTTLED - UNOPENED,1460
ARUGULA (ROCKET) — FRESH RAW,2
ASPARAGUS - COMMERCIALLY FROZEN,330
ASPARAGUS - FRESH COOKED,4
ASPARAGUS - FRESH RAW,3
ASPARAGUS COMMERCIALLY CANNED OR BOTTLED — OPENED,3
ASPARAGUS COMMERCIALLY CANNED OR BOTTLED — UNOPENED,1460
BABY CARROTS - FRESH RAW,17
BAMBOO SHOOTS - FRESH RAW,6
BAMBOO SHOOTS COMMERCIALLY CANNED OR BOTTLED — OPENED,3
BAMBOO SHOOTS COMMERCIALLY CANNED OR BOTTLED — UNOPENED,1460
BANANA PEPPERS - FRESH RAW SLICED OR CHOPPED,2
BANANA PEPPERS — FRESH RAW WHOLE,7
BEAN SALAD - HOMEMADE OR STORE-PREPARED,4
BEANS SNAP STRING OR WAX (GREEN OR YELLOW) - FRESH COOKED,4
BEET GREENS — FRESH COOKED,4
BEET GREENS - FRESH RAW,4
BEETS - FRESH COOKED,4
BEETS - FRESH RAW,14
BEETS COMMERCIALLY CANNED OR BOTTLED — OPENED,3
BEETS COMMERCIALLY CANNED OR BOTTLED — UNOPENED,1460
BELL PEPPERS / SWEET PEPPERS  (INCLUDING GREEN RED YELLOW ORANGE ) - FRESH RAW WHOLE,10
BELL PEPPERS / SWEET PEPPERS (INCLUDING GREEN RED YELLOW ORANGE ) - FRESH RAW SLICED OR CHOPPED,2
BITTER MELON — FRESH COOKED,4
BITTER MELON — FRESH RAW,4
BOK CHOY — FRESH COOKED,4
BOK CHOY — FRESH RAW,3
BROAD BEANS  — FRESH COOKED,4
BROAD BEANS  — FRESH RAW,2
BROCCOLI - COMMERCIALLY FROZEN,330
BROCCOLI - FRESH COOKED,4
BROCCOLI - FRESH RAW,4
BROCCOLI RAAB / RAPINI - FRESH COOKED,4
BROCCOLI RABE / RAPINI - FRESH RAW,4
BRUSSELS SPROUTS — FRESH COOKED,4
BRUSSELS SPROUTS -  FRESH RAW,4
BRUSSELS SPROUTS - COMMERCIALLY FROZEN,330
CABBAGE - FRESH COOKED,4
CABBAGE - FRESH RAW,45
CABBAGE ROLLS / STUFFED CABBAGE - HOMEMADE LEFTOVERS,3
CARROT JUICE COMMERCIALLY CANNED OR BOTTLED SOLD REFRIGERATED - UNOPENED,7
